AcinetobacterphageAB3	AcinetobacterphageAbp1	97.872	94	2	0	1	94	13454	13361	2.64e-40	163
AcinetobacterphageYMC-13-01-C62	AcinetobacterphageIME-AB2	98.955	8999	79	4	3723	12707	22418	31415	0.0	16083
Aeromonasphage25	AeromonasphagephiAS4	93.945	4013	211	17	2702	6706	22965	18977	0.0	6035
AeromonasphagePX29	AeromonasphagephiAS5	79.654	5082	944	73	40867	45900	66207	71246	0.0	3574
AlteromonasphagevBAmaPAD45-P4	AlteromonasphagevBAmaPAD45-P2	100.000	834	0	0	1	834	45570	46403	0.0	1541
BacillusphageB5S	BacillusphageB4	99.975	4037	1	0	1	4037	123689	127725	0.0	7450
BacillusphageBCP78	BacillusphageBCP8-2	88.282	4634	505	32	88524	93137	873	5488	0.0	5515
BacillusphageBPS10C	BacillusphageMegatron	82.269	2662	416	52	11905	14536	128561	125926	0.0	2250
BacillusphageBPS13	BacillusphageMegatron	84.917	21833	3102	170	17010	38751	84272	62540	0.0	21898
BacillusphageBasilisk	BacillusphageSlash	73.061	980	211	42	2247	3195	18335	19292	6.69e-79	298
BacillusphageBobb	BacillusphageBp8p-C	93.514	11379	708	17	1	11373	94623	105977	0.0	16897
BacillusphageBp8p-T	BacillusphagephiAGATE	82.059	22384	3786	179	41123	63386	84333	106606	0.0	18875
BacillusphageCAM003	BacillusphageHoodyT	98.313	24428	385	24	3580	27994	128785	153198	0.0	42802
BacillusphageCampHawk	BacillusphageSPO1	98.165	30464	532	3	1	30438	36713	67175	0.0	53134
BacillusphageCherry	BacillusphageWBeta	100.000	1063	0	0	1	1063	6780	7842	0.0	1964
BacillusphageCurly	BacillusphageAndromeda	96.081	10335	375	17	4577	14887	23469	33797	0.0	16814
BacillusphageEvoli	BacillusphageBastille	97.607	24070	560	10	48783	72842	42918	66981	0.0	41244
BacillusphageFah	BacillusphageWBeta	100.000	962	0	0	1	962	37468	38429	0.0	1777
BacillusphageFinn	BacillusphageRiggi	97.029	6294	178	6	1	6290	25082	31370	0.0	10578
BacillusphageGamma	BacillusphageWBeta	99.871	4666	6	0	1200	5865	27392	32057	0.0	8584
BacillusphageGammaisolated'Herelle	BacillusphageWBeta	99.282	13364	68	1	1	13336	11385	24748	0.0	24122
